      0 <= x <      30; y_0      =      61.0 +   0.6333333333333333x; interpolation
      2250 <= x <      2280; y_75      =      -1208.0 +   0.5666666666666667x; interpolation
      2280 <= x <      2310; y_76      =      1452.0 +   -0.6x; interpolation
      2310 <= x <      2340; y_77      =      -1397.0 +   0.6333333333333333x; interpolation
      2340 <= x <      2370; y_78      =      -71.0 +   0.06666666666666667x; interpolation
      2370 <= x <      2400; y_79      =      1824.9999999999998 +   -0.7333333333333333x; interpolation
      2400 <= x <      2430; y_80      =      -1535.0 +   0.6666666666666666x; interpolation
      2430 <= x <      2460; y_81      =      247.0 +   -0.06666666666666667x; interpolation
      2460 <= x <      2490; y_82      =      1395.0 +   -0.5333333333333333x; interpolation
      2490 <= x <      2520; y_83      =      150.0 +   -0.03333333333333333x; interpolation
      2520 <= x <      2550; y_84      =      -18.0 +   0.03333333333333333x; interpolation
      2550 <= x <      2580; y_85      =      -1463.0 +   0.6x; interpolation
      2580 <= x <      2610; y_86      =      -87.0 +   0.06666666666666667x; interpolation
      2610 <= x <      2640; y_87      =      2088.0 +   -0.7666666666666667x; interpolation
      2640 <= x <      2670; y_88      =      -288.0 +   0.13333333333333333x; interpolation
      2670 <= x <      2700; y_89      =      -1534.0 +   0.6x; interpolation
      2700 <= x <      2730; y_90      =      266.0 +   -0.06666666666666667x; interpolation
      2730 <= x <      2760; y_91      =      -7.0 +   0.03333333333333333x; interpolation
      2760 <= x <      2790; y_92      =      269.0 +   -0.06666666666666667x; interpolation
      2790 <= x <      2820; y_93      =      1664.0 +   -0.5666666666666667x; interpolation
      2820 <= x <      2850; y_94      =      -122.0 +   0.06666666666666667x; interpolation
      2850 <= x <      2880; y_95      =      -502.0 +   0.2x; interpolation
      2880 <= x <      2910; y_96      =      554.0 +   -0.16666666666666666x; interpolation
      2910 <= x <      2940; y_97      =      -1580.0 +   0.5666666666666667x; interpolation
      2940 <= x <      2970; y_98      =      576.0 +   -0.16666666666666666x; interpolation
      2970 <= x <      3000; y_99      =      -315.0 +   0.13333333333333333x; interpolation
      3000 <= x <      3030; y_100      =      285.0 +   -0.06666666666666667x; interpolation
      3030 <= x <      3060; y_101      =      -18.0 +   0.03333333333333333x; interpolation
      3060 <= x <      3090; y_102      =      186.0 +   -0.03333333333333333x; interpolation
      3090 <= x <      3120; y_103      =      -432.0 +   0.16666666666666666x; interpolation
      3120 <= x <      3150; y_104      =      296.0 +   -0.06666666666666667x; interpolation
      3150 <= x <      3180; y_105      =      2186.0 +   -0.6666666666666666x; interpolation
      3180 <= x <      3210; y_106      =      -1736.0 +   0.5666666666666667x; interpolation
      3210 <= x <      3240; y_107      =      1902.0 +   -0.5666666666666667x; interpolation
      3240 <= x <      3270; y_108      =      -258.0 +   0.1x; interpolation
      3270 <= x <      3300; y_109      =      -1784.0 +   0.5666666666666667x; interpolation
      3300 <= x <      3330; y_110      =      416.0 +   -0.1x; interpolation
      3330 <= x <      3360; y_111      =      -250.0 +   0.1x; interpolation
      3360 <= x <      3390; y_112      =      -26.0 +   0.03333333333333333x; interpolation
      3390 <= x <      3420; y_113      =      87.0 +   0.0x; interpolation
      3420 <= x <      3450; y_114      =      315.0 +   -0.06666666666666667x; interpolation
      3450 <= x <      3480; y_115      =      85.0 +   0.0x; interpolation
      3480 <= x <      3510; y_116      =      1941.0 +   -0.5333333333333333x; interpolation
      3510 <= x <      3540; y_117      =      -1803.0 +   0.5333333333333333x; interpolation
      3540 <= x <      3570; y_118      =      321.0 +   -0.06666666666666667x; interpolation
      3570 <= x <      3600; y_119      =      -274.0 +   0.1x; interpolation
      3600 <= x <      3630; y_120      =      446.0 +   -0.1x; interpolation
      3630 <= x <      3660; y_121      =      -522.0 +   0.16666666666666666x; interpolation
      3660 <= x <      3690; y_122      =      576.0 +   -0.13333333333333333x; interpolation
      3690 <= x <      3720; y_123      =      -39.0 +   0.03333333333333333x; interpolation
      3720 <= x <      3750; y_124      =      209.0 +   -0.03333333333333333x; interpolation
      3750 <= x <      3780; y_125      =      2334.0 +   -0.6x; interpolation
      3780 <= x <      3810; y_126      =      -2454.0 +   0.6666666666666666x; interpolation
      3810 <= x <      3840; y_127      =      -41.0 +   0.03333333333333333x; interpolation
      3840 <= x <      3870; y_128      =      599.0 +   -0.13333333333333333x; interpolation
      3870 <= x <      3900; y_129      =      2276.0 +   -0.5666666666666667x; interpolation
      3900 <= x <      3930; y_130      =      66.0 +   0.0x; interpolation
      3930 <= x <      3960; y_131      =      -2554.0 +   0.6666666666666666x; interpolation
      3960 <= x <      3990; y_132      =      1010.0 +   -0.23333333333333334x; interpolation
      3990 <= x <      4020; y_133      =      1808.0 +   -0.43333333333333335x; interpolation
      4020 <= x <      4050; y_134      =      -202.0 +   0.06666666666666667x; interpolation
      4050 <= x <      4080; y_135      =      -1957.0 +   0.5x; interpolation
      4080 <= x <      4110; y_136      =      83.0 +   0.0x; interpolation
      4110 <= x <      4140; y_137      =      2549.0 +   -0.6x; interpolation
      4140 <= x <      4170; y_138      =      -2833.0 +   0.7x; interpolation
      4170 <= x <      4200; y_139      =      781.0 +   -0.16666666666666666x; interpolation
      4200 <= x <      4230; y_140      =      2321.0 +   -0.5333333333333333x; interpolation
      4230 <= x <      4260; y_141      =      -3037.0 +   0.7333333333333333x; interpolation
      4260 <= x <      4290; y_142      =      371.0 +   -0.06666666666666667x; interpolation
      4290 <= x <      4320; y_143      =      2945.0 +   -0.6666666666666666x; interpolation
      4320 <= x <      4350; y_144      =      -511.0 +   0.13333333333333333x; interpolation
      4350 <= x <      4380; y_145      =      -2251.0 +   0.5333333333333333x; interpolation
      4380 <= x <      4410; y_146      =      2859.0 +   -0.6333333333333333x; interpolation
      4410 <= x <      4440; y_147      =      5799.0 +   -1.3x; interpolation
      4440 <= x <      4470; y_148      =      -5893.0 +   1.3333333333333333x; interpolation
      4470 <= x <      4500; y_149      =      365.0 +   -0.06666666666666667x; interpolation
      4500 <= x <      4530; y_150      =      -2185.0 +   0.5x; interpolation
      4530 <= x <      4560; y_151      =      -977.0 +   0.23333333333333334x; interpolation
      4560 <= x <      4590; y_152      =      1303.0 +   -0.26666666666666666x; interpolation
      4590 <= x <      4620; y_153      =      -1145.0 +   0.26666666666666666x; interpolation
      4620 <= x <      4650; y_154      =      1319.0 +   -0.26666666666666666x; interpolation
      4650 <= x <      4680; y_155      =      -1161.0 +   0.26666666666666666x; interpolation
      4680 <= x <      4710; y_156      =      1179.0 +   -0.23333333333333334x; interpolation
      4710 <= x <      4740; y_157      =      -1019.0 +   0.23333333333333334x; interpolation
      4740 <= x <      4770; y_158      =      403.0 +   -0.06666666666666667x; interpolation
      4770 <= x <      4800; y_159      =      3424.0 +   -0.7x; interpolation
      4800 <= x <      4830; y_160      =      -3616.0000000000005 +   0.7666666666666667x; interpolation
      4830 <= x <      4860; y_161      =      3628.9999999999995 +   -0.7333333333333333x; interpolation
      4860 <= x <      4890; y_162      =      -3175.0 +   0.6666666666666666x; interpolation
      4890 <= x <      4920; y_163      =      3345.0 +   -0.6666666666666666x; interpolation
      4920 <= x <      4950; y_164      =      -3379.0 +   0.7x; interpolation
      4950 <= x <      4980; y_165      =      3386.0 +   -0.6666666666666666x; interpolation
      4980 <= x <      5010; y_166      =      -764.0 +   0.16666666666666666x; interpolation
      5010 <= x <      5040; y_167      =      -2100.0 +   0.43333333333333335x; interpolation
      5040 <= x <      5070; y_168      =      2436.0 +   -0.4666666666666667x; interpolation
      5070 <= x <      5100; y_169      =      -1620.0 +   0.3333333333333333x; interpolation
      5100 <= x <      5130; y_170      =      80.0 +   0.0x; interpolation
      5130 <= x <      5160; y_171      =      2474.0 +   -0.4666666666666667x; interpolation
      5160 <= x <      5190; y_172      =      -3202.0 +   0.6333333333333333x; interpolation
      5190 <= x <      5220; y_173      =      3199.0 +   -0.6x; interpolation
      5220 <= x <      5250; y_174      =      1111.0 +   -0.2x; interpolation
      5250 <= x <      5280; y_175      =      -989.0 +   0.2x; interpolation
      5280 <= x <      5310; y_176      =      -813.0 +   0.16666666666666666x; interpolation
      5310 <= x <      5340; y_177      =      -2406.0 +   0.4666666666666667x; interpolation
      5340 <= x <      5370; y_178      =      2400.0 +   -0.43333333333333335x; interpolation
      5370 <= x <      5400; y_179      =      -1895.9999999999998 +   0.36666666666666664x; interpolation
      5400 <= x <      5430; y_180      =      2064.0 +   -0.36666666666666664x; interpolation
      5430 <= x <      5460; y_181      =      -1737.0 +   0.3333333333333333x; interpolation
      5460 <= x <      5490; y_182      =      1175.0 +   -0.2x; interpolation
      5490 <= x <      5520; y_183      =      2090.0 +   -0.36666666666666664x; interpolation
      5520 <= x <      5550; y_184      =      -3246.0 +   0.6x; interpolation
      5550 <= x <      5580; y_185      =      3044.0 +   -0.5333333333333333x; interpolation
      5580 <= x <      5610; y_186      =      -2722.0 +   0.5x; interpolation
      5610 <= x <      5640; y_187      =      3075.0 +   -0.5333333333333333x; interpolation
      5640 <= x <      5670; y_188      =      -3505.0 +   0.6333333333333333x; interpolation
      5670 <= x <      5700; y_189      =      1598.0 +   -0.26666666666666666x; interpolation
      5700 <= x <      5730; y_190      =      2738.0 +   -0.4666666666666667x; interpolation
      5730 <= x <      5760; y_191      =      -3946.9999999999995 +   0.7x; interpolation
      5760 <= x <      5790; y_192      =      3733.0 +   -0.6333333333333333x; interpolation
      5790 <= x <      5820; y_193      =      -3986.9999999999995 +   0.7x; interpolation
      5820 <= x <      5850; y_194      =      4355.0 +   -0.7333333333333333x; interpolation
      5850 <= x <      5880; y_195      =      -4225.0 +   0.7333333333333333x; interpolation
      5880 <= x <      5910; y_196      =      4203.0 +   -0.7x; interpolation
      5910 <= x <      5940; y_197      =      -3480.0 +   0.6x; interpolation
      5940 <= x <      5970; y_198      =      -312.0 +   0.06666666666666667x; interpolation
      5970 <= x <      6000; y_199      =      683.0 +   -0.1x; interpolation
      6000 <= x <      6030; y_200      =      3683.0 +   -0.6x; interpolation
      6030 <= x <      6060; y_201      =      -3955.0 +   0.6666666666666666x; interpolation
      6060 <= x <      6090; y_202      =      3923.0 +   -0.6333333333333333x; interpolation
      6090 <= x <      6120; y_203      =      -4197.0 +   0.7x; interpolation
      6120 <= x <      6150; y_204      =      903.0 +   -0.13333333333333333x; interpolation
      6150 <= x <      6180; y_205      =      83.0 +   0.0x; interpolation
      6180 <= x <      6210; y_206      =      -947.0 +   0.16666666666666666x; interpolation
      6210 <= x <      6240; y_207      =      4642.0 +   -0.7333333333333333x; interpolation
      6240 <= x <      6270; y_208      =      -3886.0 +   0.6333333333333333x; interpolation
      6270 <= x <      6300; y_209      =      3847.0 +   -0.6x; interpolation
      6300 <= x <      6330; y_210      =      -4133.0 +   0.6666666666666666x; interpolation
      6330 <= x <      6360; y_211      =      4096.0 +   -0.6333333333333333x; interpolation
      6360 <= x <      6390; y_212      =      -3748.0 +   0.6x; interpolation
      6390 <= x <      6420; y_213      =      -127.0 +   0.03333333333333333x; interpolation
      6420 <= x <      6450; y_214      =      515.0 +   -0.06666666666666667x; interpolation
      6450 <= x <      6480; y_215      =      515.0 +   -0.06666666666666667x; interpolation
      6480 <= x <      6510; y_216      =      3971.0 +   -0.6x; interpolation
      6510 <= x <      6540; y_217      =      -4709.0 +   0.7333333333333333x; interpolation
      6540 <= x <      6570; y_218      =      4665.0 +   -0.7x; interpolation
      6570 <= x <      6600; y_219      =      -4095.0 +   0.6333333333333333x; interpolation
      6600 <= x <      6630; y_220      =      4265.0 +   -0.6333333333333333x; interpolation
      6630 <= x <      6660; y_221      =      -376.0 +   0.06666666666666667x; interpolation
      6660 <= x <      6690; y_222      =      -3706.0 +   0.5666666666666667x; interpolation
      6690 <= x <      6720; y_223      =      531.0 +   -0.06666666666666667x; interpolation
      6720 <= x <      6750; y_224      =      3891.0 +   -0.5666666666666667x; interpolation
      6750 <= x <      6780; y_225      =      516.0 +   -0.06666666666666667x; interpolation
      6780 <= x <      6810; y_226      =      7070.000000000001 +   -1.0333333333333334x; interpolation
      6810 <= x <      6840; y_227      =      714.0 +   -0.1x; interpolation
      6840 <= x <      6870; y_228      =      -11370.0 +   1.6666666666666667x; interpolation
      6870 <= x <      6900; y_229      =      -607.0 +   0.1x; interpolation
      6900 <= x <      6930; y_230      =      -377.0 +   0.06666666666666667x; interpolation
      6930 <= x <      6960; y_231      =      316.0 +   -0.03333333333333333x; interpolation
      6960 <= x <      6990; y_232      =      1012.0 +   -0.13333333333333333x; interpolation
      6990 <= x <      7020; y_233      =      80.0 +   0.0x; interpolation
      7020 <= x <      7050; y_234      =      1484.0 +   -0.2x; interpolation
      7050 <= x <      7080; y_235      =      -1336.0 +   0.2x; interpolation
      7080 <= x <      7110; y_236      =      -1572.0 +   0.23333333333333334x; interpolation
      7110 <= x <      7140; y_237      =      5775.0 +   -0.8x; interpolation
      7140 <= x <      7170; y_238      =      -4697.0 +   0.6666666666666666x; interpolation
      7170 <= x <      7200; y_239      =      83.0 +   0.0x; interpolation
      7200 <= x <      7230; y_240      =      -397.0 +   0.06666666666666667x; interpolation
      7230 <= x <      7260; y_241      =      326.0 +   -0.03333333333333333x; interpolation
      7260 <= x <      7290; y_242      =      4682.0 +   -0.6333333333333333x; interpolation
      7290 <= x <      7320; y_243      =      -5281.0 +   0.7333333333333333x; interpolation
      7320 <= x <      7350; y_244      =      5211.0 +   -0.7x; interpolation
      7350 <= x <      7380; y_245      =      -179.0 +   0.03333333333333333x; interpolation
      7380 <= x <      7410; y_246      =      -4853.0 +   0.6666666666666666x; interpolation
      7410 <= x <      7440; y_247      =      5027.0 +   -0.6666666666666666x; interpolation
      7440 <= x <      7470; y_248      =      -5141.0 +   0.7x; interpolation
      7470 <= x <      7500; y_249      =      1084.0 +   -0.13333333333333333x; interpolation
      7500 <= x <      7530; y_250      =      84.0 +   0.0x; interpolation
      7530 <= x <      7560; y_251      =      2092.0 +   -0.26666666666666666x; interpolation
      7560 <= x <      7590; y_252      =      3100.0 +   -0.4x; interpolation
      7590 <= x <      7620; y_253      =      -695.0 +   0.1x; interpolation
      7620 <= x <      7650; y_254      =      -3997.0 +   0.5333333333333333x; interpolation
      7650 <= x <      7680; y_255      =      83.0 +   0.0x; interpolation
      7680 <= x <      7710; y_256      =      -685.0 +   0.1x; interpolation
      7710 <= x <      7740; y_257      =      343.0 +   -0.03333333333333333x; interpolation
      7740 <= x <      7770; y_258      =      5245.0 +   -0.6666666666666666x; interpolation
      7770 <= x <      7800; y_259      =      -453.0 +   0.06666666666666667x; interpolation
      7800 <= x <      7830; y_260      =      -4093.0 +   0.5333333333333333x; interpolation
      7830 <= x <      7860; y_261      =      3998.0 +   -0.5x; interpolation
      7860 <= x <      7890; y_262      =      -4910.0 +   0.6333333333333333x; interpolation
      7890 <= x <      7920; y_263      =      87.0 +   0.0x; interpolation
      7920 <= x <      7950; y_264      =      351.0 +   -0.03333333333333333x; interpolation
      7950 <= x <      7980; y_265      =      351.0 +   -0.03333333333333333x; interpolation
      7980 <= x <      8010; y_266      =      5405.0 +   -0.6666666666666666x; interpolation
      8010 <= x <      8040; y_267      =      -4474.0 +   0.5666666666666667x; interpolation
      8040 <= x <      8070; y_268      =      4370.0 +   -0.5333333333333333x; interpolation
      8070 <= x <      8100; y_269      =      -5045.0 +   0.6333333333333333x; interpolation
      8100 <= x <      8130; y_270      =      4945.0 +   -0.6x; interpolation
      8130 <= x <      8160; y_271      =      -475.0 +   0.06666666666666667x; interpolation
      8160 <= x <      8190; y_272      =      885.0 +   -0.1x; interpolation
      8190 <= x <      8220; y_273      =      -5940.0 +   0.7333333333333333x; interpolation
      8220 <= x <      8250; y_274      =      636.0 +   -0.06666666666666667x; interpolation
      8250 <= x <      8280; y_275      =      5036.0 +   -0.6x; interpolation
      8280 <= x <      8310; y_276      =      -4900.0 +   0.6x; interpolation
      8310 <= x <      8340; y_277      =      5072.0 +   -0.6x; interpolation
      8340 <= x <      8370; y_278      =      -4380.0 +   0.5333333333333333x; interpolation
      8370 <= x <      8400; y_279      =      642.0 +   -0.06666666666666667x; interpolation
      8400 <= x <      8430; y_280      =      4842.0 +   -0.5666666666666667x; interpolation
      8430 <= x <      8460; y_281      =      -5836.0 +   0.7x; interpolation
      8460 <= x <      8490; y_282      =      1496.0 +   -0.16666666666666666x; interpolation
      8490 <= x <      8520; y_283      =      7156.0 +   -0.8333333333333334x; interpolation
      8520 <= x <      8550; y_284      =      -3068.0 +   0.36666666666666664x; interpolation
      8550 <= x <      8580; y_285      =      -4778.0 +   0.5666666666666667x; interpolation
      8580 <= x <      8610; y_286      =      5232.0 +   -0.6x; interpolation
      8610 <= x <      8640; y_287      =      -5961.0 +   0.7x; interpolation
      8640 <= x <      8670; y_288      =      4983.0 +   -0.5666666666666667x; interpolation
      8670 <= x <      8700; y_289      =      -5132.0 +   0.6x; interpolation
      8700 <= x <      8730; y_290      =      7338.0 +   -0.8333333333333334x; interpolation
      8730 <= x <      8760; y_291      =      -5757.0 +   0.6666666666666666x; interpolation
      8760 <= x <      8790; y_292      =      5047.0 +   -0.5666666666666667x; interpolation
      8790 <= x <      8820; y_293      =      66.0 +   0.0x; interpolation
      8820 <= x <      8850; y_294      =      -5520.0 +   0.6333333333333333x; interpolation
      8850 <= x <      8880; y_295      =      380.0 +   -0.03333333333333333x; interpolation
      8880 <= x <      8910; y_296      =      -508.0 +   0.06666666666666667x; interpolation
      8910 <= x <      8940; y_297      =      680.0 +   -0.06666666666666667x; interpolation
      8940 <= x <      8970; y_298      =      84.0 +   0.0x; interpolation
      8970 <= x <      9000; y_299      =      5167.0 +   -0.5666666666666667x; interpolation
      9000 <= x <      9030; y_300      =      -833.0 +   0.1x; interpolation
      9030 <= x <      9060; y_301      =      -4144.0 +   0.4666666666666667x; interpolation
      9060 <= x <      9090; y_302      =      4312.0 +   -0.4666666666666667x; interpolation
      9090 <= x <      9120; y_303      =      -4172.0 +   0.4666666666666667x; interpolation
      9120 <= x <      9150; y_304      =      4340.0 +   -0.4666666666666667x; interpolation
      9150 <= x <      9180; y_305      =      2815.0 +   -0.3x; interpolation
      9180 <= x <      9210; y_306      =      5569.0 +   -0.6x; interpolation
      9210 <= x <      9240; y_307      =      4341.0 +   -0.4666666666666667x; interpolation
      9240 <= x <      9270; y_308      =      -12291.0 +   1.3333333333333333x; interpolation
      9270 <= x <      9300; y_309      =      -4257.0 +   0.4666666666666667x; interpolation
      9300 <= x <      9330; y_310      =      5353.0 +   -0.5666666666666667x; interpolation
      9330 <= x <      9360; y_311      =      -4599.0 +   0.5x; interpolation
      9360 <= x <      9390; y_312      =      3825.0 +   -0.4x; interpolation
      9390 <= x <      9420; y_313      =      -4626.0 +   0.5x; interpolation
      9420 <= x <      9450; y_314      =      1654.0 +   -0.16666666666666666x; interpolation
      9450 <= x <      9480; y_315      =      -866.0 +   0.1x; interpolation
      9480 <= x <      9510; y_316      =      714.0 +   -0.06666666666666667x; interpolation
      9510 <= x <      9540; y_317      =      4835.0 +   -0.5x; interpolation
      9540 <= x <      9570; y_318      =      -1525.0 +   0.16666666666666666x; interpolation
      9570 <= x <      9600; y_319      =      -4396.0 +   0.4666666666666667x; interpolation
      9600 <= x <      9630; y_320      =      2324.0 +   -0.23333333333333334x; interpolation
      9630 <= x <      9660; y_321      =      -3133.0 +   0.3333333333333333x; interpolation
      9660 <= x <      9690; y_322      =      3307.0 +   -0.3333333333333333x; interpolation
      9690 <= x <      9720; y_323      =      3953.0 +   -0.4x; interpolation
      9720 <= x <      9750; y_324      =      -6739.0 +   0.7x; interpolation
      9750 <= x <      9780; y_325      =      6261.0 +   -0.6333333333333333x; interpolation
      9780 <= x <      9810; y_326      =      -6453.0 +   0.6666666666666666x; interpolation
      9810 <= x <      9840; y_327      =      1068.0 +   -0.1x; interpolation
      9840 <= x <      9870; y_328      =      3036.0 +   -0.3x; interpolation
      9870 <= x <      9900; y_329      =      -3215.0 +   0.3333333333333333x; interpolation
      9900 <= x <      9930; y_330      =      1735.0 +   -0.16666666666666666x; interpolation
      9930 <= x <      9960; y_331      =      -1244.0 +   0.13333333333333333x; interpolation
      9960 <= x <      9990; y_332      =      -580.0 +   0.06666666666666667x; interpolation
      9990 <= x <      10020; y_333      =      419.0 +   -0.03333333333333333x; interpolation
      10020 <= x <      10050; y_334      =      7099.0 +   -0.7x; interpolation
      10050 <= x <      10080; y_335      =      -7305.999999999999 +   0.7333333333333333x; interpolation
      10080 <= x <      10110; y_336      =      7142.0 +   -0.7x; interpolation
      10110 <= x <      10140; y_337      =      -272.0 +   0.03333333333333333x; interpolation
      10140 <= x <      10170; y_338      =      -6694.0 +   0.6666666666666666x; interpolation
      10170 <= x <      10200; y_339      =      6527.0 +   -0.6333333333333333x; interpolation
      10200 <= x <      10230; y_340      =      -5033.0 +   0.5x; interpolation
      10230 <= x <      10260; y_341      =      6220.0 +   -0.6x; interpolation
      10260 <= x <      10290; y_342      =      -7117.999999999999 +   0.7x; interpolation
      10290 <= x <      10320; y_343      =      85.0 +   0.0x; interpolation
      10320 <= x <      10350; y_344      =      1117.0 +   -0.1x; interpolation
      10350 <= x <      10380; y_345      =      5257.0 +   -0.5x; interpolation
      10380 <= x <      10410; y_346      =      -5815.0 +   0.5666666666666667x; interpolation
      10410 <= x <      10440; y_347      =      6330.0 +   -0.6x; interpolation
      10440 <= x <      10470; y_348      =      -6894.0 +   0.6666666666666666x; interpolation
      10470 <= x <      10500; y_349      =      7066.0 +   -0.6666666666666666x; interpolation
      10500 <= x <      10530; y_350      =      -6584.0 +   0.6333333333333333x; interpolation
      10530 <= x <      10560; y_351      =      436.0 +   -0.03333333333333333x; interpolation
      10560 <= x <      10590; y_352      =      -972.0 +   0.1x; interpolation
      10590 <= x <      10620; y_353      =      1146.0 +   -0.1x; interpolation
      10620 <= x <      10650; y_354      =      -978.0 +   0.1x; interpolation
      10650 <= x <      10680; y_355      =      2572.0 +   -0.23333333333333334x; interpolation
      10680 <= x <      10710; y_356      =      6132.0 +   -0.5666666666666667x; interpolation
      10710 <= x <      10740; y_357      =      -7790.999999999999 +   0.7333333333333333x; interpolation
      10740 <= x <      10770; y_358      =      7245.0 +   -0.6666666666666666x; interpolation
      10770 <= x <      10800; y_359      =      -7473.999999999999 +   0.7x; interpolation
